app_name,review_text
call of duty: world at war,"once upon a time, call of duty was a legit, epic, ww2 shooter. there was a time where snipers camped and didn't run around quick scoping. there was a time where submachine gunners ran around and didn't camp in corners. there was a time where thermal scopes didn't exist and smokes actually did someting. there was a time where tanks roamed the battlefield and dominated over everyone. there was a time where 2-3 bullets actually killed you instead of 10-12. there was a time where shotguns weren't op. there was a time where 12 year olds didn't sleep with your mom. there was a time where squeakers didn't dominate over people. there was a time where trolls didn't anger over-sensitive people. all in a place called call of duty: world at war"
call of duty: world at war,zombies? check. no op shotguns? check. no '360 noscopes' and 'quickscopes'? check. no dlc money ♥♥♥♥♥s? check. custom maps for zombies? check. replayability? check. good campaign? check. worth buying? triple check. edit: please don't add me to play cod:waw zombies... and to ask me questions.
call of duty: world at war,no faze clans ? no screaming 13 year olds making mom jokes ? no hackers? no spawnkillers? zombie custom maps? ♥♥♥♥ing amazing codwaw/codwaw ign doesnt care
call of duty: world at war,remember when call of duty wasn't a joke? pepperidge farm remembers.
call of duty: world at war,"world at war is possibly the best ww2 style shooter alongside with red orchestra 2. you may love or hate the cod franchise, but there is no doubt this is a good game. don't let bad reputation of newer titles ruin previous games in the series."
call of duty: world at war,"call of duty: world at war, is the best call of duty to ever be made, and will ever be made. the perfect amount of flamethrower, and dedicated servers should keep you from playing any other call of duty. if i were to rate this game it would be a 9/10."
call of duty: world at war,"this game is genuinely the best call of duty game, and it's genuinely an incredible game. the campaign was really good, nazi zombies is a blast, even better with friends, and the multiplayer was really good back in the day. all in all, i'd recommend this to anyone. especially someone who loves wave-based survival games. nazi zombies is the best part about this game, and it is one hell of a time. :p"
call of duty: world at war,totaly worth it just to play nazi zombies did i mention the pc version comes with all 3 extra map packs for free?
call of duty: world at war,taught me more about world war 2 than my history teacher.
call of duty: world at war,when call of duty was call of duty.
call of duty: world at war,still the best cod out there.
call of duty: world at war,the best cod. pros: +the only cod campaign that's actually good +almost every mode can be played coop +zombies +custom zombies +wwii setting +banzai +kiefer sutherland is a voice actor in it cons: -that you didn't buy it yet
call of duty: world at war,plain and simple. it doesn't have futuristic crap like advanced warfare. one of the best call of duty games. pros +great campaign +enjoyable multiplayer (with friends) +nazi zombies +custom maps +modding cons - hackers in multiplayer ( highly recommend that you play with friends) 10/10 a game worth buying. *edit it's still a better game than infinite warfare.
call of duty: world at war,"listen people, before reading below listen to me. i am not a help desk. anything you have a question about can be easly solved by a quick google search. please stop asking me questions about the game. also don't add me because of this review now that i've said that, read the review. by far the best call of duty! pros: -no mlg pro console f.ag faze snipers -no 8 year olds who slept with my mother -not alot of script kiddies -custom zombies -good multiplayer -singleplayer thats actually worth playing -custom zombies -world war 2 -cheap -hours and hours worth of play time -custom zombies -easy to run -good graphics and gore for 2008 (even meets todays standards!) -did i mention it has custom zombies? -actually a good call of duty -you know what? f.uck writing any more pros, i'll be here for a while cons -you still haven't bought the game definitly a 10/10 now go f.ucking buy the game custom maps link"
call of duty: world at war,"in my opinion, this is the best call of duty ever made, it's better than advanced warfare in my opinion. nothing beats playing custom zombies with some friends. 10/10"
call of duty: world at war,downloaded 78 zombie maps from the internet for free. never run out of zombies. bring some friends along. r8 8/8
call of duty: world at war,my favorite cod. bring back ww2 fps!
call of duty: world at war,"when i was 10 years old i remember my dad getting me this game for christmas. i remember playing the campaign and enjoying it and being scared by the zombie mode that was unlocked upon finishing the game. during this time i didn't have internet so i couldn't play online. due to this i always played with my dad. i believe that lasted for a couple months and i begged my dad to get the internet set up so i could play with other people. call of duty: world at war was my first online game and it was a great experience. campaign: - i would say the campaign in this game is fairly average, but one of the best call of duty campaigns. - you can play all, but two missions cooperatively. multiplayer: - personally, i thought this game had the best multiplayer out of all the call of duty games. i loved playing hardcore headquarters, hardcore search and destroy, and war. - unfortunetly, this games feels basically dead these days and i don't really see a reason to play it. - on pc there is a problem where you get kicked from games for no reason by punk buster. zombies: - this game comes with four fun zombie maps upon purchase. - there are loads and loads of custom maps to play - four player coop. i honestly can't think of any negative things to say about this game. if you're looking for a game to play custom zombie maps this is the game for you!"
call of duty: world at war,my first and favorite cod. no hackers online. nazi zombies mods will have you hooked for hours!!
call of duty: world at war,the campaign on veteran was fun and challenging. custom zombies is great with friends as well.
call of duty: world at war,there are no microtransactions.
call of duty: world at war,"world at war is a masterpiece and a damn good game. the gameplay is simply cod4 with a different era. its fun, fast, and arcadie. in terms of singleplayer, this installment saw you brave the horrors of wwii from both a russian and american perspective; battling the japanesse on iwo jima and beating down the 3rd reich from stalingrad to berlin. featuring the voice talents of keifer sutherland for the american sgt. roebuck, and gary oldman for the premier of the legendary hard-as-nails russian sniper - viktor reznov. the campaign is both compelling and fantasicaly written with mixes of close and ranged combat along a spectrum of locales beautifully designed and planned. the singleplayer is, as far as im concerned, unsurpassable by any other 'call of duty' game. multiplayer is still alive and active. the servers are very fun to play in and have a lot of active players on them. waw's multiplayer is very fun and solid. it may have a couple of cheap moments like any other cod has. but it is still very enjoyable and can keep you entertained for a couple of hours. as always i leave the best for last. zombies! call of duty: world at war's zombie mode is one of the best co-op experiences i have ever had. its fun, gameplay is solid, theres a story, and it will give you and your friends hours upon hours of entertainment. the game comes with 4 solid maps to play on. natch der untoten, verruckt, shi no numa, and der riese. these maps offer great variety and are very fun to play in. zombies is the biggest and most alive part of this game. with a community that has created thousands upon thousands of custom zombie maps that one can enjoy. many map makers like zct and tmg provide high quality maps that can be compared to treyarch's best. you still reading eh? go and buy this game now! yeah thats right, now! this is a game everyone should have in their libraries as it offers many hours of entertainment."
call of duty: world at war,is anyone else here just for zombies???
call of duty: world at war,"when infinity ward released call of duty 4: modern warfare back in 2007, the developer was met with critical acclaim and praise for breaking away from the world war ii setting that had started to bog down the once revolutionary series. that made treyarch's decision to bring the fifth installment back to the historical time period that much more confusing - why mess with success? well, call of duty: world at war returns to the series' roots, and is a good reminder of why world war ii games became so popular in the first place - the tone is gritty, the pace is frantic, and the action is visceral. world at war's story is split between two very different fronts - the ferocious jungle campaign of the pacific theatre, and the retaliatory invasion of the russians on the eastern front. that's right - no pesky normandy invasions this time around! in the pacific, you take on the role of private miller of the united states marine corps, and take part in the island hopping campaign towards okinawa. on the eastern front, you play as private dimitri petrenko, and are tasked with pushing the nazis out of russia and marching into berlin. the campaign is paced exceptionally well so that after a few missions of fighting as miller in the pacific, you'll switch over to play as dimitri in eastern europe. this stops the campaign from becoming stale, keeping it fresh and exciting. perhaps the best part of the campaign is the sheer amount of variety found in the missions. the first mission as private petrenko, for example, comes straight out of the movie enemy at the gates. narrowly surviving a massacre in nazi controlled stalingrad, you and an injured comrade have to make your way through the enemy filled streets armed with only a sniper rifle in order to assassinate the german general. in addition to sniper duels, you'll also have to burn out enemy fortifications during the campaign, as well as command a tank through enemy infested germany. one of the most memorable missions has you playing as neither miller nor petrenko, but petty officer locke, a gunner for a pby catalina flying boat. in addition to shooting down japanese patrol boats, merchant ships, and fighter planes, you'll have to try and rescue american sailors stranded in the sea after their fleet is decimated by a squadron of kamikaze fighters. the mission is really unique, and the intensity ramps up significantly as more japanese planes show up, and ammo starts becoming scarce. the first person views of the plane's interior as well as the exceptional dialogue make this mission much more than a standard rail shooting experience. although it is overall an invigorating experience, the campaign does have a few faults - most notably, some annoying glitches. for example, in order to finish one mission, you have to regroup with your squad. the mission won't end, however, until you backtrack half way through the level and unstick one of your ai buddies with a grenade - something that obviously shouldn't make into the finished product. there are a few other minor glitches as well, such as the little grenade symbol by your feet sometimes staying on screen long after its explosion, but these usually don't have an effect on the gameplay, and are thus easily ignorable. as great as the campaign is alone, it's even greater with a few friends. world at war allows you to play through the entire campaign with up to three friends, and you can even turn on competitive scoring, much like in halo 3, to add a new layer of depth when playing with friends. the other co-operative mode in world at war is the ever-addictive nazi zombies. with a few friends, you get to fight off a never-ending horde of nazi zombies, starting off with just a pistol. as the game continues, and the waves get progressively harder and harder, new guns are available to purchase. it's hectic and crazy, and although no left 4 dead, it is a heck of a lot of fun. if nazi zombies isn't your thing, then you might find world at war's multiplayer more enjoyable. treyarch took the super addictive multiplayer system from modern warfare, and it still is great. classes, perks, prestige classes - it's all here. of course, some of the technology present in call of duty 4 wasn't around back in the 1940's, so treyarch did have to make a few, slight changes. for example, instead of being able to call in helicopters after getting a killing streak, you can bring in attack dogs to attack your foes, or call in artillery strikes to bombard enemy positions. the essentials are all the same however. you get experience points for killing enemies and winning matches, which can be used to unlock new, powerful guns, weapon accessories and armor, and better perks. the prestige class returns as well, allowing you to return to level 1 after reaching the maximum level. you can do this up to 10 times, so if you are dedicated in getting to the top, be prepared to put a lot of hours in world at war. the graphics in world at war are stunning, with dazzling explosions lighting up the screen and individual character models looking impressively detailed, especially up close, such as when a banzai soldier jumps on you with a bayonet in your face. the animations are spectacular as well, with no two soldiers dying the same way. you can even blow off individual body parts off with certain weapons, like the shotgun, which is of course extremely satisfying. the game's audio also stands up extremely well. the game features big name voice talent such as kiefer sutherland and gary oldman, and the soundtrack is immersive and fitting. the guns sound realistic and appropriately powerful - you can even hear the sounds of sizzling flesh after burning enemies with the flamethrower. if that sound doesn't draw you into the war, i'm not sure if anything will. in the end, call of duty: world at war is a bit of an odd duck. it combines the new, successful multiplayer system of modern warfare with the old, familiar setting of world war ii. though wwii games are a dime a dozen, call of duty is still at the top for a reason. the campaign is varied and exciting, and can be played with up to three friends. the multiplayer is deep and addictive, and the new nazi zombie mode is surprisingly entertaining. the only major obstacle to enjoying this game for some is probably the setting. if you're absolutely sick of world war ii, then you might end up forcing yourself not to enjoy this game. however, if you're a fan of first person shooters in the least, then world at war will provide an enthralling experience."
call of duty: world at war,better than the cods coming out now
call of duty: world at war,good game and is not dead.
call of duty: world at war,"this game has held up suprisingly well. it was the last decent cod made, imo, and is well worth a playthrough by any shooter fan. great story, fun weapons, excellent sound design and great graphics, whats not to love?"
call of duty: world at war,"in my honest opinion, this remains to be the last great game in the call of duty series. the campaign holds up very well and is incredibly challenging on the highest difficulty. problem is, very few people play the multiplayer for this game these days, as far as i've seen... well worth the money if you can pick it up on sale."
call of duty: world at war,"1. this doesn't have a awful remix of beauty of annihilation. 2. no gimicks in zombies. 3. dedicated modded zombie community. 4. the best version of zombies you'll ever play. don't buy black ops 2.5, buy this. faq: do all maps come free? yes. dedicated servers? yes. can you teach me to play zombies? man, there are plenty of guides on the internet, but one thing i will tell you is that wall weapons are your friend, use them. oh and a side note, hey thanks for getting my review popular, but just because i have a popular review it doesn't mean you guys should just randomly add me. sorry, it's not that i don't like making friends, but i'd rather met people a better way than just that, thanks guys."
call of duty: world at war,"no drones, no high tech gadgets, no dlcs, no evil enemies with stupid reasons, only you and your rifle, fighting truly evil nazi and militarisim japs. very probably the last cod of wwii. one more thing, do you know what is better than killing nazi and zombies? killing nazi zombies!!!!!!!"
call of duty: world at war,"if you can pick it up during a sale, its definitely worth it just for zombies alone. the campaign is decent, but the last mission (veteran difficulty) is rediculous, how did the german army lose if they had that many grenades? modding is keeping this game alive ever since its release back in 2008, my personal favourites is the zombie pirate ship and some of the epic cod 4 mods for waw."
call of duty: world at war,havent played much of this game but yeah its cool
call of duty: world at war,"custom zombies is an endless ammount of fun. amazing maps, great community, great zombie killing. rip yote."
