name,reviews.rating,reviews.text,reviews.title
hyatt house seattle/downtown,5,"i stayed here for a vacation, hoping to enjoy the location, but we received so much more. the room was so good. comfortable and clean, we really enjoyed relaxing on the sofa at the end of each day. beds were comfortable, linens were soft, and the kitchen was supplied with glassware and plates to enjoy dinner with our shoes off. amina at the front desk always greeted us with a smile and was helpful in answering all our questions. the shuttle made getting around town very easy, though when you are across the street from seattle center, you really don't need to use it much! the view from our room was the space needle, and i loved it. breakfast was surprisingly large and varied from day to day kudos to the breakfast staff for keeping the buffet area well stocked and clean. i hope to return, as i very much enjoyed my stay. try this when you go to seattle!dear wandap,thank you for taking the time to review our hotel on trip advisor! i am very glad to hear that you had a great stay and that you enjoyed our location across the street from the space needle! i will pass onto the staff that you enjoyed our free breakfast buffet and thought their service was deserves kudos! i hope the next time you are in town you choose us again! sincerely,jonathan","location, amenities, and great service!"
hyatt house seattle/downtown,5,"to describe who is writing this, i was a single traveller with a 3-person party one floor down. my basic expectations are: clean-no trace of previous guests, good bed with bleach-white sheets. i don't really expect to be hosted, or served well, just not rudely. i didn't want to detract from my overall satisfaction with the accommodations, so i gave 5 stars. here are a couple of downsides: the desk person who checked us in was not fabulous. our party had split up for check-in, as there is nowhere for any parking besides the basement, and mcdonald's across the street, she decided to get tough with my mother, who had paid for the accommodations, and insist that the would not surrender all room keys until all parties were present. even though we are all responsible adults. so she had to walk across a downtown street, get me, and return to get a second room key, which was a bit wierd. when checking in, she asked if i needed a room with a view this sounded like an offer, so i asked if it would cost my mom less. no. the prices are all the same for that room type. do you need a room with a view at this point i'm a bit bothered and a bit offended, because she has avoided simply asking if she could give me an interior room as a favour to the hotel, which i would have gladly obliged, but it was starting to sound like special request - room with a view like i had requested a crib. she also gave us the usual pre-flight bathrooms down the hall blah-blah, never cracking a smile. she never mentioned that the elevators are super-confusing, with only one going down to the parade, so if you hit down from floor 7, you might get the lobby only car, might not, it's completely random. even if it seems no one else is using the elevators at all. the stairs will not take you past floor 1 so us skip the wait and run the stairs folks do not have that option. so after check-in, we accidentally boarded the top-to-lobby elevator, trying to get down to the parade, and had a super-confusing time learning all these facts as we went. so ask how the elevators work, please. i took the interior room, which faces windows to the hall and other rooms. in such a room, it would be easy to accidentally see or be seen by other guests. in the afternoon i was watching tv, and could easily see the cleaning lady in the room across, the windows are only perhaps 8 feet apart. so privacy screen down, blackout shades pretty much all the time. otherwise this property is gorgeous, has a charming rooftop courtyard with bbq and firepit, the fitness facility is ok, and the breakfast is included and hyatt standard which i love! you should know that you cannot get access to the parade in any way without a key, my mom lost the key while sorting out the rooms, and we got stuck with a car behind us while she had a panic attack. a phone attached to the card reader links you to the front desk.......eventually. very eventually.cclelland2016,we are thrilled to hear the hyatt house met your needs and appreciate the positive feedback. im glad you were able to take advantage of the rooftop terrace, fitness center and the complimentary breakfast spread in the morning. its wonderful to know when guests have a comfortable stay as we are grateful of the comments. we look forward to your next visit in seattle!sarah junge",fabulous hotel under the space needle
hyatt house seattle/downtown,3,"the room was nice and modern. parking is very limited and hard to get to. if you don't get parking in their small garage, then you have to pay for parking across the street. there is only a very small area to park your car to even check in and no valet is available. the reception desk seems cold and not very welcoming. the staff was anxious to help but i got the wrong parking pass 3 times. hotel is clean and across from the space needle. we had an awesome view of it. good luck",across from space needle but overpriced
hyatt house seattle/downtown,5,"this hotel was wonderful. the staff was excellent and even though we had a car, we never used it due to the location in the downtown area and the shuttle that took us to the other places we wanted to go. we would definitely stay here again and recommend it to our friends.robert s,thank you for choosing to stay at hyatt house during your recent trip to seattle and for taking the time to share your experience on tripadvisor. we value the feedback from our guests and are always striving to improve our guests stay. please let us know when you return as wed love to welcome you back as our guest.sarah junge",restful time in seattle
hyatt house seattle/downtown,5,my mom and i stayed for three nights in april. the hotels location cannot be beat. it is right across the street from the seattle space needle and the museum of pop culture. best part of our hotel stay was when we walked into our room. not only was it huge but the view was absolutely stellar with a view of the space needle.the staff at this hotel is without a doubt the most attentive and friendly staff i have ever seen at a hotel. everyone from the front desk staff to the morning breakfast staff (breakfast is complimentary by the way) was awesome.only minor issue we had was getting back to the hotel on the complimentary shuttle. we called and arranged a time to be picked up but the shuttle did not show up at the correct time. shuttle driver was very apologetic and friendly. this is a new service and as with every new service there are bound to be minor issues. this minor issue will not stop us from booking here again.thank you for taking the time to share your thoughts about our hotel. i am thrilled to hear that you enjoyed your stay and that our team was friendly and attentive. thank you as well for your patience and understanding with the shuttle and we hope to see you again on your next visit to seattle!,perfection. with just a minor inconvenience
hyatt house seattle/downtown,5,"room 428.10taxes and parking 99.04we are hyatt members, so we earn points, etc., when staying here or any hyatt related property. we booked online, which was easy and received reminders about our stay.the hotel is across the street from the space needle and grounds. we went to a concert at key area, which is about 4 blocks walking. lots to do just outside the hotel door.parking can be tricky, especially if you have more than 1 car per room, which is the allotment in the garage. it is a safe and secure garage.breakfast was good buffet style. drinks, happy hour, snacks were good 4 chicken quasedea slices, 3 pork sliders were good with 2 lemon drops and 2 espresso martini's 70.the room was comfortable with a great view of the space needle and grounds. big tv, slightly smallish bathroom if two people are trying to get ready at the same time and a big comfortable bed.no valet (park in front to register and get your parking pass to the garage) and no help to your room with the bags (get the cart in the lobby). people were however, friendly, helpful and quick to answer questions or be of assistance in some manner.dear akittynamedtabitha,thank you very much for reviewing our hotel! i am so happy to hear that you had fun in seattle and enjoyed our location! our room prices do fluctuate from day to day and are often much lower than the price you paid. we actually currently have a promotion going that give 10 off if you book directly with hyatt. i hope that you and your family enjoyed the concert. your stay with us is exactly when we try to accomplish. we very much appreciate your business and we hope we get a chance to host you again soon. warm regards,jonathan",one night stay before the concert
hyatt house seattle/downtown,2,"we stayed at the hyatt house because it was convenient to the emp, as we were taking a vocal workshop. the room had greasy fingerprints all over the microwave, chairs around the bar were askew, and the shower was dirty with large spots of soap scum all over it. we called the front desk and they asked if they could clean it the next day! we said, no, we are checking out then and want to take a shower in the morning. they said they would send someone up. i pulled back the covers on the bed to make sure the sheets had been changed and there was a plastic wrapper and a dirty wash rag. needless to say, we went downstairs and said, please put us in another room. the next room was not very clean either, but better than the first one.kimbrleedo,feedback from our guests is very important to us and we appreciate the detailed concerns. we strive to exceed all of our guests expectations and know we still have some work to do. please know this is extremely important to me and i'm working with my executive housekeeper to correct any issues. please let us know if there is anything we further assist with - we look forward to another opportunity to serve you in the future.sarah junge",poor housekeeping
hyatt house seattle/downtown,5,"the room was very nice. it included a kitchenette and a seating area that is separated to the sleeping area by the tv stand, which made the room feel more homey. the included daily breakfast was great too, not only were there pastries but breakfast meats and made to order omelettes. i would definitely stay here again.",just a walk away from the needle
hyatt house seattle/downtown,5,"our stay at the hyatt house in seattle was a totally satisfying experience. the staff was professional, the facilities immaculate, the room fabulous and looked out on the space needle totally convenient to seattle centre and the free shuttle gave me access to the downtown core and pike place market.david w,thank you for staying with us next to the space needle! we love our incredible location and are ecstatic that you felt the same way. as one of the newest members to the hyatt family, we are more than appreciative of your feedback and am glad to see you enjoyed your stay. we pride ourselves on our guest satisfaction and hope to see you again soon in the near future.sarah junge",superb service
hyatt house seattle/downtown,5,"stayed on this hotel for a business trip, but it allowed the trip to become a sight-seeing one. the room faced the space needle and emp museum. the room was cozy, had all amenities (it was a house room with kitchenette, fridge, microwave). the place is very clean and modern, and the staff were very accommodating and understanding when there was a charge issue with my corporate card. the place has free shuttles to downtown seattle, and is within walking distance from a lot of tourist attractions. i would stay on this hotel again, no problem.dear ugo c,thank you for completing a tripadvisor review regarding your recent stay at our hotel. please know that your feedback is extremely valuable to us and we will utilize your response to make every guest experience the best it can be. i am glad to hear that you found our location to be great and our hotels staff to be helpful and accomodating! i greatly appreciate your 5 star review it will be celebrated with the hotel. if i can be of any assistance to you, please contact me directly. we very much appreciate your business! sincerely,jon",great hotel right across the street from the space needle
